iter	RMSE
0	5040.246755
1	4672.325289
2	4313.947834
3	4024.817699
4	3747.832535
5	3497.47257
6	3237.436413
7	3018.102773
8	2816.262655
9	2617.16027
10	2446.956051
11	2290.52611
12	2155.677468
13	2032.453279
14	1903.834132
15	1769.235153
16	1654.864848
17	1559.517788
18	1484.601534
19	1384.289905
20	1324.966886
21	1254.328829
22	1176.886549
23	1119.311704
24	1064.066831
25	1001.217592
26	948.829699
27	900.4939483
28	864.251624
29	831.3146287
30	799.7892001
31	767.2277068
32	742.5648092
33	714.8258732
34	690.3531384
35	658.7465249
36	630.8750162
37	608.1889743
38	587.946985
39	562.9493828
40	539.3804175
41	521.7036254
42	502.2827196
43	488.58715
44	472.9183029
45	462.2463793
46	448.0099111
47	433.7476942
48	417.8379531
49	401.8335589
50	393.3477425
51	379.6522516
52	372.3409395
53	363.9280189
54	352.6616285
55	343.1756905
56	336.8982108
57	328.7072442
58	322.1903916
59	313.4919049
60	305.5325285
61	299.3255885
62	292.7990642
63	287.4008436
64	282.121777
65	276.890954
66	269.5561798
67	264.3218861
68	260.1678177
69	254.7442312
70	250.2302057
71	245.1463263
72	239.6913144
73	235.8055245
74	231.4556668
75	227.3387941
76	223.7788243
77	219.3397349
78	214.2640423
79	210.5869297
80	206.1179731
81	203.2963317
82	197.8337954
83	192.8637445
84	190.6818627
85	186.0218272
86	183.363644
87	181.0021948
88	178.3294527
89	175.9088259
90	174.2212808
91	171.8398327
92	168.0066304
93	164.8072688
94	161.578671
95	159.5589964
96	158.0167882
97	156.7161058
98	154.6424002
99	150.7332935
