iter	Passed	Remaining
0	276	27386
1	378	18559
2	439	14203
3	492	11808
4	541	10293
5	591	9274
6	643	8550
7	692	7959
8	744	7525
9	793	7138
10	845	6840
11	897	6584
12	965	6460
13	1028	6317
14	1086	6156
15	1088	5716
16	1141	5572
17	1195	5445
18	1246	5315
19	1300	5202
20	1355	5097
21	1408	4994
22	1460	4890
23	1517	4805
24	1569	4709
25	1583	4505
26	1634	4420
27	1683	4329
28	1734	4245
29	1783	4160
30	1833	4081
31	1883	4002
32	1932	3923
33	1982	3847
34	2031	3773
35	2080	3699
36	2129	3626
37	2179	3556
38	2236	3498
39	2300	3450
40	2361	3398
41	2417	3337
42	2473	3279
43	2527	3217
44	2579	3152
45	2627	3083
46	2677	3018
47	2726	2953
48	2739	2851
49	2791	2791
50	2842	2731
51	2848	2629
52	2897	2569
53	2946	2509
54	2997	2452
55	3047	2394
56	3097	2336
57	3149	2280
58	3200	2224
59	3254	2169
60	3305	2113
61	3360	2059
62	3408	2001
63	3455	1943
64	3512	1891
65	3574	1841
66	3638	1792
67	3696	1739
68	3756	1687
69	3817	1636
70	3831	1565
71	3886	1511
72	3939	1457
73	3989	1401
74	4041	1347
75	4093	1292
76	4144	1237
77	4197	1183
78	4249	1129
79	4300	1075
80	4347	1019
81	4397	965
82	4448	911
83	4500	857
84	4551	803
85	4603	749
86	4652	695
87	4703	641
88	4757	588
89	4810	534
90	4864	481
91	4930	428
92	4990	375
93	5047	322
94	5101	268
95	5152	214
96	5205	160
97	5257	107
98	5309	53
99	5358	0
