Feature,Importance
city_count,120.5072521775103
transaction_count_roll2,58.692325186498636
total_revenue_roll2,58.072815156981356
total_quantity_roll2,47.18924367846847
total_quantity_lag1,34.32320648487242
transaction_count_lag1,30.689348236526282
total_revenue_lag1,29.418192611204116
transaction_count_lag2,22.97541927474566
total_revenue_lag2,19.51666391916828
production_cost,17.367403462982125
avg_discount_lag1,16.372626705363555
avg_age,14.029528361621857
avg_unit_price_lag2,13.171118316935969
SeasonNum,11.990497114652978
avg_discount_roll2,11.441100151414316
avg_discount_lag2,11.418206484230488
avg_unit_price,7.37595181104273
avg_unit_price_lag1,6.064771283793708
total_quantity_lag2,5.068998819584751
TimeStep,4.4453960608141045
avg_unit_price_roll2,3.845090855725062
ProductColor_enc,3.035127057967875
Gender_enc,2.7774498712597895
Category_enc,2.3919437942195767
Season_enc,1.7394962754018652
store_count,0.5056587990833512
AgeGroup_enc,0.3251680427877501
