Category,ProductColor,Gender,AgeGroup,Season,Year,predicted_quantity
Feminine,Unknown,F,19-25,Spring,2025,60878.82
Feminine,Unknown,F,36-50,Spring,2025,46546.85
Feminine,Unknown,F,26-35,Spring,2025,44836.41
Masculine,Unknown,F,19-25,Spring,2025,43598.973
Feminine,Unknown,M,19-25,Spring,2025,41415.7
Masculine,Unknown,F,26-35,Spring,2025,36481.234
Masculine,Unknown,F,36-50,Spring,2025,35023.395
Masculine,Unknown,M,19-25,Spring,2025,34949.04
Feminine,Unknown,M,36-50,Spring,2025,29726.08
Feminine,Unknown,M,26-35,Spring,2025,26306.662
Masculine,Unknown,M,36-50,Spring,2025,22185.64
Masculine,Unknown,M,26-35,Spring,2025,21792.908
Feminine,Unknown,F,51-65,Spring,2025,15764.257
Feminine,Unknown,F,0-18,Spring,2025,15719.906
Children,Unknown,F,19-25,Spring,2025,14146.419
Masculine,Unknown,F,0-18,Spring,2025,11975.777
Masculine,Unknown,F,51-65,Spring,2025,11670.294
Children,Unknown,F,36-50,Spring,2025,11634.645
Feminine,Unknown,M,0-18,Spring,2025,11298.927
Children,Unknown,F,26-35,Spring,2025,9883.75
Children,Unknown,M,19-25,Spring,2025,9807.112
Feminine,Unknown,M,51-65,Spring,2025,8954.268
Masculine,Unknown,M,0-18,Spring,2025,8708.022
Masculine,Unknown,M,51-65,Spring,2025,6784.7495
Children,Unknown,M,36-50,Spring,2025,5196.9653
Children,Unknown,M,26-35,Spring,2025,4781.96
Masculine,TURQUOISE,F,19-25,Spring,2025,4197.179
Children,Unknown,F,51-65,Spring,2025,3861.8164
Children,Unknown,F,0-18,Spring,2025,3676.1118
Feminine,WHITE,F,19-25,Spring,2025,2488.573
Feminine,NEUTRAL,F,19-25,Spring,2025,2398.5347
Masculine,SILVER,F,19-25,Spring,2025,2353.889
Feminine,NEUTRAL,F,36-50,Spring,2025,2341.721
Masculine,BLUE,F,19-25,Spring,2025,2321.848
Masculine,MUSTARD,F,19-25,Spring,2025,2308.624
Masculine,TURQUOISE,F,26-35,Spring,2025,2281.8843
Masculine,LILAC,F,19-25,Spring,2025,2278.273
Feminine,BLACK,F,19-25,Spring,2025,2268.1401
Masculine,TURQUOISE,F,36-50,Spring,2025,2259.2463
Masculine,NEUTRAL,F,19-25,Spring,2025,2233.6272
Feminine,NEUTRAL,F,26-35,Spring,2025,2217.4097
Feminine,WHITE,F,26-35,Spring,2025,2202.2021
Feminine,LILAC,F,19-25,Spring,2025,2199.1497
Masculine,RED,F,19-25,Spring,2025,2185.934
Feminine,GREEN,F,19-25,Spring,2025,2147.585
Feminine,WHITE,F,36-50,Spring,2025,2146.2515
Masculine,BLUE,F,36-50,Spring,2025,2127.4207
Masculine,SILVER,F,36-50,Spring,2025,2113.418
Feminine,RED,F,19-25,Spring,2025,2093.5159
Masculine,TURQUOISE,M,19-25,Spring,2025,2090.128
Feminine,YELLOW,F,19-25,Spring,2025,2089.7996
Masculine,SILVER,F,26-35,Spring,2025,2084.9204
Masculine,BLUE,F,26-35,Spring,2025,2069.8699
Masculine,BLACK,F,19-25,Spring,2025,2046.1549
Feminine,NEUTRAL,M,19-25,Spring,2025,2043.8671
Feminine,BLUE,F,19-25,Spring,2025,2034.7672
Masculine,SILVER,M,19-25,Spring,2025,2018.7646
Feminine,BLACK,F,26-35,Spring,2025,2002.9496
Children,Unknown,M,0-18,Spring,2025,2000.5048
Feminine,BLUE,F,36-50,Spring,2025,1981.7183
Masculine,YELLOW,F,19-25,Spring,2025,1961.3704
Feminine,LILAC,F,36-50,Spring,2025,1956.1007
Masculine,LILAC,F,26-35,Spring,2025,1955.7617
Masculine,WHITE,F,19-25,Spring,2025,1936.2927
Feminine,WHITE,M,19-25,Spring,2025,1934.9348
Masculine,GREEN,F,19-25,Spring,2025,1916.8269
Feminine,BLACK,F,36-50,Spring,2025,1915.3813
Feminine,RED,F,36-50,Spring,2025,1913.2471
Masculine,NEUTRAL,F,36-50,Spring,2025,1902.5614
Feminine,SILVER,F,19-25,Spring,2025,1901.3822
Feminine,GREEN,F,36-50,Spring,2025,1900.4523
Feminine,TURQUOISE,F,19-25,Spring,2025,1896.3384
Masculine,MUSTARD,F,26-35,Spring,2025,1873.9448
Feminine,YELLOW,F,36-50,Spring,2025,1857.2872
Masculine,MUSTARD,F,36-50,Spring,2025,1849.3475
Feminine,TURQUOISE,F,36-50,Spring,2025,1825.0693
Masculine,LILAC,F,36-50,Spring,2025,1824.8344
Masculine,NEUTRAL,M,19-25,Spring,2025,1824.0402
Feminine,GREEN,F,26-35,Spring,2025,1793.896
Feminine,LILAC,F,26-35,Spring,2025,1782.6073
Masculine,MUSTARD,M,19-25,Spring,2025,1769.0693
Masculine,NEUTRAL,F,26-35,Spring,2025,1757.094
Feminine,BLUE,F,26-35,Spring,2025,1717.2169
Feminine,YELLOW,F,26-35,Spring,2025,1698.3862
Feminine,RED,F,26-35,Spring,2025,1676.3365
Feminine,SILVER,F,36-50,Spring,2025,1667.5715
Feminine,SILVER,F,26-35,Spring,2025,1665.956
Children,Unknown,M,51-65,Spring,2025,1637.3625
